date,company,bullish_pct,bearish_pct,neutral_pct,overall_sentiment,classified_posts,total_posts,classified_pct,total_score_weight,avg_post_weight
2025-02-12,Apple,37.0,0.0,63.0,Neutral,8,10,80.0,200,25.0
2025-02-12,Amazon,6.7114093959731544,0.0,93.28859060402685,Neutral,8,11,72.72727272727273,149,18.625
2025-02-12,Alphabet,79.94227994227994,0.0,20.057720057720058,Bullish,26,39,66.66666666666666,693,26.653846153846153
2025-02-12,Meta,100.0,0.0,0.0,Bullish,17,33,51.515151515151516,311,18.294117647058822
2025-02-12,Microsoft,100.0,0.0,0.0,Bullish,5,8,62.5,57,11.4
2025-02-12,Nvidia,70.42553191489361,0.0,29.574468085106382,Bullish,10,26,38.46153846153847,470,47.0
2025-02-12,Tesla,68.76155268022181,0.0,31.23844731977819,Bullish,18,24,75.0,541,30.055555555555557
2025-02-11,Apple,18.940281030444964,0.0,81.05971896955504,Neutral,18,28,64.28571428571429,3416,189.77777777777777
2025-02-11,Amazon,18.154937906564165,0.0,81.84506209343584,Neutral,14,26,53.84615384615385,3382,241.57142857142858
2025-02-11,Alphabet,10.580645161290322,0.0,89.41935483870968,Neutral,48,69,69.56521739130434,3100,64.58333333333333
2025-02-11,Meta,2.705551651440618,0.035137034434293744,97.25931131412509,Neutral,24,64,37.5,2846,118.58333333333333
2025-02-11,Microsoft,29.229203764945304,0.0,70.77079623505469,Neutral,9,19,47.368421052631575,3931,436.77777777777777
2025-02-11,Nvidia,62.10708577517315,0.9589770911028237,36.93393713372403,Bullish,19,42,45.23809523809524,7508,395.1578947368421
2025-02-11,Tesla,11.766571519188075,0.0,88.23342848081192,Neutral,27,53,50.943396226415096,3153,116.77777777777777
2025-02-10,Apple,99.00213827512474,0.9978617248752674,0.0,Bullish,12,21,57.14285714285714,2806,233.83333333333334
2025-02-10,Amazon,99.24242424242425,0.7575757575757576,0.0,Bullish,16,27,59.25925925925925,792,49.5
2025-02-10,Alphabet,100.0,0.0,0.0,Bullish,28,47,59.57446808510638,256,9.142857142857142
2025-02-10,Meta,99.48805460750853,0.5119453924914675,0.0,Bullish,29,72,40.27777777777778,1172,40.41379310344828
2025-02-10,Microsoft,100.0,0.0,0.0,Bullish,9,19,47.368421052631575,2528,280.8888888888889
2025-02-10,Nvidia,99.40298507462687,0.5970149253731344,0.0,Bullish,12,40,30.0,1005,83.75
2025-02-10,Tesla,99.56514467302225,0.16725204883759828,0.2676032781401572,Bullish,25,41,60.97560975609756,5979,239.16
2025-02-09,Apple,82.33713901947615,0.0,17.662860980523842,Bullish,8,13,61.53846153846154,1489,186.125
2025-02-09,Amazon,8.041958041958042,0.0,91.95804195804196,Neutral,12,19,63.1578947368421,286,23.833333333333332
2025-02-09,Alphabet,52.44122965641953,0.0,47.55877034358047,Bullish,27,50,54.0,553,20.48148148148148
2025-02-09,Meta,33.24873096446701,0.0,66.75126903553299,Neutral,20,48,41.66666666666667,394,19.7
2025-02-09,Microsoft,1.1278195488721803,0.0,98.87218045112782,Neutral,7,10,70.0,266,38.0
2025-02-09,Nvidia,98.16673637250801,0.0,1.833263627491984,Bullish,11,28,39.285714285714285,14346,1304.1818181818182
2025-02-09,Tesla,42.4507658643326,0.0,57.54923413566739,Neutral,10,16,62.5,457,45.7
2025-02-08,Apple,100.0,0.0,0.0,Bullish,13,17,76.47058823529412,231,17.76923076923077
2025-02-08,Amazon,91.42280524722503,8.577194752774975,0.0,Bullish,13,20,65.0,991,76.23076923076923
2025-02-08,Alphabet,95.676500508647,4.323499491353001,0.0,Bullish,31,51,60.78431372549019,1966,63.41935483870968
2025-02-08,Meta,99.21711899791231,0.0,0.7828810020876826,Bullish,31,67,46.26865671641791,1916,61.806451612903224
2025-02-08,Microsoft,96.58469945355192,0.0,3.415300546448088,Bullish,11,17,64.70588235294117,732,66.54545454545455
2025-02-08,Nvidia,79.71360381861575,20.286396181384248,0.0,Bullish,12,21,57.14285714285714,419,34.916666666666664
2025-02-08,Tesla,97.42002063983489,0.0,2.5799793601651184,Bullish,20,28,71.42857142857143,969,48.45
2025-02-07,Apple,91.2751677852349,1.0738255033557047,7.651006711409396,Bullish,11,16,68.75,745,67.72727272727273
2025-02-07,Amazon,81.96994991652755,3.0884808013355594,14.941569282136896,Bullish,22,38,57.89473684210527,1198,54.45454545454545
2025-02-07,Alphabet,85.1006711409396,0.0,14.899328859060404,Bullish,38,65,58.46153846153847,745,19.605263157894736
2025-02-07,Meta,49.107142857142854,0.0,50.89285714285714,Neutral,26,58,44.827586206896555,112,4.3076923076923075
2025-02-07,Microsoft,87.5,12.5,0.0,Bullish,9,23,39.130434782608695,296,32.888888888888886
2025-02-07,Nvidia,82.12290502793296,1.9087523277467413,15.968342644320298,Bullish,24,62,38.70967741935484,2148,89.5
2025-02-07,Tesla,35.90664272890485,0.3690404947137443,63.72431677638141,Neutral,32,45,71.11111111111111,10026,313.3125
2025-02-06,Apple,85.06787330316742,9.14027149321267,5.791855203619909,Bullish,13,25,52.0,1105,85.0
2025-02-06,Amazon,59.77554636739516,5.9657412876550495,34.25871234494979,Bullish,23,41,56.09756097560976,1693,73.6086956521739
2025-02-06,Alphabet,99.93136582017846,0.06863417982155114,0.0,Bullish,38,60,63.33333333333333,1457,38.3421052631579
2025-02-06,Meta,13.095238095238097,86.90476190476191,0.0,Bearish,21,54,38.88888888888889,168,8.0
2025-02-06,Microsoft,99.40119760479041,0.5988023952095809,0.0,Bullish,14,18,77.77777777777779,167,11.928571428571429
